         756302 function calls (747487 primitive calls) in 1.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.057    0.057 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/boto3/s3/inject.py:1(<module>)
        1    0.000    0.000    0.056    0.056 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/boto3/s3/transfer.py:1(<module>)
       12    0.006    0.000    0.053    0.004 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1197(_format_strings)
    14439    0.010    0.000    0.046    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1220(_format)
        1    0.001    0.001    0.045    0.045 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/s3transfer/__init__.py:1(<module>)
        1    0.000    0.000    0.042    0.042 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:234(_load_service_model)
        1    0.000    0.000    0.039    0.039 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/s3transfer/compat.py:1(<module>)
        2    0.000    0.000    0.038    0.019 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:946(getaddrinfo)
        2    0.038    0.019    0.038    0.019 {built-in method _socket.getaddrinfo}
    35/18    0.000    0.000    0.037    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.036    0.018 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:493(_ssl_wrap_socket_impl)
        2    0.000    0.000    0.036    0.018 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:449(wrap_socket)
        2    0.000    0.000    0.036    0.018 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:956(_create)
        2    0.000    0.000    0.036    0.018 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1313(do_handshake)
        2    0.036    0.018    0.036    0.018 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.033    0.033    0.033    0.033 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.033    0.033 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/common.py:36(save_data_locally)
        1    0.000    0.000    0.032    0.032 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/frame.py:2909(to_feather)
        1    0.000    0.000    0.032    0.032 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/feather_format.py:38(to_feather)
        2    0.000    0.000    0.030    0.015 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:322(request)
        1    0.000    0.000    0.030    0.030 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/awsrequest.py:87(request)
        2    0.000    0.000    0.029    0.015 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1320(endheaders)
        1    0.000    0.000    0.029    0.029 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/awsrequest.py:113(_send_output)
    14439    0.008    0.000    0.029    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:165(pprint_thing)
        1    0.000    0.000    0.029    0.029 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:113(wait_for_read)
        1    0.000    0.000    0.029    0.029 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:95(wait_for_socket)
        2    0.029    0.014    0.029    0.014 {method 'poll' of 'select.poll' objects}
        1    0.000    0.000    0.028    0.028 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:57(poll_wait_for_socket)
        1    0.000    0.000    0.028    0.028 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:74(do_poll)
        2    0.025    0.012    0.025    0.012 {method 'connect' of '_socket.socket' objects}
        1    0.016    0.016    0.025    0.025 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pyarrow/feather.py:115(write_feather)
       39    0.000    0.000    0.024    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.022    0.022 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/managers.py:1(<module>)
       32    0.003    0.000    0.021    0.001 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1726(_make_fixed_width)
